"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"23JZ-7BB","Elizabeth de Stafford","Female","5 July 1375–3 May 1405",29,"+1375-07-05","52.77951","-1.91711","Staffordshire, England","+1405-05-03","52.91388","-1.97121","Heleigh, Staffordshire, England.",1,0,2,6,2,1,1,3
"23XV-LFK","Nicholas Montgomery","Male","1310–1370",60,"+1310","52.9381","-1.7607","Cubley, Worcestershire, England","+1370","53.11051","-1.62048","poss, Derbyshire, England",0,0,0,0,2,1,2,1
"242T-2NJ","John, Ian Ciar MacLeod 4th. Clan Chief","Male","1330–1392",62,"+1330","57.3919","-6.3317","Skye, Inverness-shire, Scotland","+1392","57.7406","-6.9615","Rodel, Harris, Inverness, Scotland",2,0,2,3,2,3,1,3
"24RL-TSK","Joan de Langley","Female","1335–1 November 1369",34,"+1335","52.2623","-1.7222","Langley, Warwickshire, England","+1369-11-01","51.9905","-1.7019","Chastleton House, Moreton in Marsh, Gloucestershire, England",0,0,0,3,2,1,1,2
"24W6-QXY","Joan de Venables","Female","1385–Aft 1432",48,"+1385","53.18333","-2.4","Kinderton, Cheshire, England","+1432","53.18268","-2.53046","Hulme, Cheshire, England",2,0,1,1,2,4,1,5
"24Y4-K56","Mrs. Joan De Blankenhall","Female","1294–1317",23,"+1294","52.98838","-1.98093","Cheadle, Staffordshire, England","+1317",NA,NA,NA,0,0,0,1,0,0,1,1
"24Y4-KGY","Hugh De Blakenhall","Male","1289–1330",41,"+1289","52.94315","-1.95262","Checkley, Cheadle, Staffordshire, England","+1330","52.98838","-1.98093","Cheadle, Staffordshire, England",0,0,0,0,2,0,1,1
"26P9-T5C","Thomas Belhouse","Male","about 1261–",NA,"+1261","51.8823","0.8179","Stanway, Essex, England",NA,NA,NA,NA,0,0,0,0,2,1,1,3
"2718-7B8","Thomas Giggs","Male","1362–May 1420",58,"+1362","52.67827","0.97259","Norfolk, England, United Kingdom","+1420-05","52.68619","1.62505","Rollesby, Norfolk, England, United Kingdom",1,0,1,2,0,0,1,1
"2733-2HD","Agatha de Kyrton","Female","1287–1361",74,"+1287","51.22608","0.75054","Kent, England","+1361","53.5041","-2.9724","Sefton, Lancashire, England",1,0,1,6,2,1,1,6
