"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"21RG-C86","Ralph Mortimer","Male","before 1198–6 August 1246",48,NA,"52.3161","-2.861","Wigmore, Herefordshire, England","+1246-08-06","52.3161","-2.861","Wigmore, Herefordshire, England",2,1,4,11,2,2,1,7
"21RT-MK1","William Murray - III Laird of Tullibardine","Male","about 1290–before 31 May 1352",62,"+1290","56.3","-3.75","Tullibardine, Perthshire, Scotland",NA,"56.3","-3.75","Tullibardine, Perthshire, Scotland",2,0,2,6,2,0,2,5
"21RY-PYS","Alain VI de Rohan","Male","1232–environ 1304",72,"+1232","48.069","-2.7525","Rohan, Morbihan, Bretagne, France","+1304","48.069","-2.7525","Rohan, Morbihan, Bretagne, France",2,0,2,1,2,5,2,7
"21TM-TL3","John de Goushill","Male","about 1235–1271",36,"+1235","53.11546","-1.02722","Nottinghamshire, England","+1271","53.01667","-0.96667","Hoveringham, Nottinghamshire, England",0,0,0,1,2,1,1,1
"21TM-YG1","Stephen Trenoweth","Male","1269–1292",23,"+1269","50.25116","-5.06676","Trenoweth, Porthoustock, Cornwall, England","+1292","50.25116","-5.06676","Trenoweth, Cornwall, England",0,0,0,1,0,0,1,1
"245X-JXD","Madoc ap Hywel Fychan Lewis","Male","1254–1340",86,"+1254","51.7467","-3.37726","Merthyr Tydfil, Glamorgan, Wales","+1340","52.2721","-3.0051","Presteigne, Radnorshire, Wales, United Kingdom",0,0,0,0,2,0,2,5
"24B3-SP3","Nicholas de Stawell","Male","1159–",NA,"+1159","51.0799","-3.1679","Cothelstone, Somerset, England",NA,NA,NA,NA,0,0,0,1,2,0,1,6
"24MT-NPT","Lady Rohese de Bardolf","Female","about 1180–18 June 1246",66,"+1180","50.7205","-2.5944","Kingston Russell, Dorset, England","+1246-06-18","52.06667","-2.15","Strensham, Worcestershire, England",3,0,3,5,2,1,1,5
"24RD-KQ2","Captain Squarcino Borri","Male","1235–24 de fevereiro de 1277",42,"+1235","45.75677","8.48068","Invorio, Novara, Piémont, Italie","+1277-02-24","45.7564","8.487","Invorio, Novara, Piemonte, Italia",1,0,1,3,2,0,2,5
"26K6-RXR","Hywell Ap Maredudd","Male","1185–1246",61,"+1185","51.65413","-2.85062","Pen-y-Cae, Monmouthshire, Wales","+1246","51.65413","-2.85062","Pen-y-Cae, Monmouthshire, Wales",0,0,0,0,2,0,2,8
"26L7-HVC","Sarra de Bagot","Female","about 1208–about 1259",51,"+1208","52.77951","-1.91711","Staffordshire, England","+1259","53.0455","-1.9716","Ipstones, Staffordshire, England",0,0,0,2,2,4,1,2
"26LH-MV6","John de Moles (2 Sons)","Male","1226–Deceased",NA,"+1226","51.1766","-3.1795","Stringston, Somersetshire, England",NA,NA,NA,NA,1,0,1,0,2,1,1,2
"26LW-42F","Isabel de Huxley","Female","about 1282–after 1337",56,"+1282","53.1483","-2.7313","Huxley, Cheshire, England","+1337",NA,NA,NA,0,0,0,1,0,0,1,2
"2733-2HD","Agatha de Kyrton","Female","1287–1361",74,"+1287","51.22608","0.75054","Kent, England","+1361","53.5041","-2.9724","Sefton, Lancashire, England",1,0,1,6,2,1,1,6
"2734-4MJ","Reginald FitzReynald","Male","about 1276–1328",52,"+1276","51.30014","-2.60593","Chewton, Somerset, England","+1328","52.4379","-1.6496","England",0,0,0,0,2,7,2,2
"2736-LNS","Roderick MacLeod 7th of Lewes","Male","1420–1598",178,"+1420","58.2698","-6.6822","Isle of Lewis, Ross-shire, Scotland","+1598","56.63333","-6.08333","Blooy Bay, Tobermory, Argyll, Scotland",1,0,1,3,2,4,2,7
