"fid","name","gender","lifespan","age_at_death","birth","place_birth_lat","place_birth_lon","place_birth","death","place_death_lat","place_death_lon","place_death","count_memories","count_stories","count_photos","count_sources","count_parents","count_siblings","count_spouses","count_children"
"24LC-9QS","Isabel Hay","Female","about 1520–",NA,"+1520","55.75","-3.25","Peebles-shire, Scotland",NA,"56.81674","-4.18396","Scotland",0,0,0,0,2,5,1,12
"24NS-LGZ","Elizabeth Isley","Female","about 1510–after 1 March 1572",62,"+1510","52.4379","-1.6496","England","+1572-03-01","52.4379","-1.6496","England",1,0,1,3,1,0,2,7
"2718-TJP","Sara Smyth","Female","about 1526–",NA,"+1526","51.628","0.4184","Billericay, Essex, England",NA,NA,NA,NA,0,0,0,0,0,0,1,2
"273N-T41","Emmot Carne","Female","1524–1579",55,"+1524","51.51","-0.12","London, England","+1579","51.55573","-0.23209","Middlesex, England",0,0,0,1,0,0,1,1
"273N-T7T","Roger Empson","Male","1523–1581",58,"+1523","51.498","-0.135","Westminster, Greater London, England","+1581","51.55573","-0.23209","Middlesex, England",0,0,0,1,2,11,1,1
"278L-154","Thomas Prince III","Male","1550–1630",80,"+1550","51.7008","-1.6916","Lechlade, Gloucestershire, England",NA,"51.7008","-1.6916","Lechlade, Gloucestershire, England",0,0,0,2,2,0,2,9
"27DV-K39","Henry Rice Wade","Male","1545–28 Jul 1605",60,"+1545","54.5871","-1.1385","King Crosse, Halifax Parish, West Riding, County Yorkshire, England","+1605-07-28","54.5871","-1.1385","Halifax Parish, West Riding, County Yorkshire, England",0,0,0,8,2,8,1,17
"27FR-4SR","Roger Kelsey","Male","1520–",NA,"+1520","51.1324","0.2633","Tunbridge Wells, Kent, England",NA,NA,NA,NA,0,0,0,0,2,0,1,5
"27HS-VKS","Christian Pile","Female","1530–25 Jul 1609",79,"+1530","50.7281","-3.2174","Sidbury, Devon, England","+1609-07-25","50.7281","-3.2174","Sidbury, Devon, England",14,0,0,8,0,0,1,16
"293R-LG1","Michel Scheffer","Male","1524–3 June 1607",83,"+1524","48.87162","8.54431","Ottenhausen, Straubenhardt, Baden-Württemberg, Germany","+1607-06-03","49.44","7.76","Ottenhausen, Germany",0,0,0,30,2,1,2,17
"29B8-CVS","Sir John Tyndall","Male","1476–1 Oct 1539",63,"+1476","52.4379","-1.6496","England","+1539-10-01","51.6818","-2.3035","Uley, Gloucestershire, England",1,0,1,2,2,3,1,17
"29MH-HTV","Hans von Darmsheim","Male","1470–1524",54,"+1470","48.69595","8.94005","Darmsheim, Sindelfingen, Böblingen, Württemberg","+1524","48.69595","8.94005","Darmsheim, Sindelfingen, Böblingen, Württemberg",0,0,0,0,1,1,1,1
