"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"LCFM-NFX",NA,"Richard Farr","1685 - 1762",77,"UK:Great Britain",9,1
"LCXW-72B",NA,"Johann Georg Vogelgesang","1665 - 1743",78,NA,14,8
"LDQR-ZKG",NA,"William Echols","1704 - 1771",67,"USA",9,8
"LDZG-Z7V",NA,"Mary Elizabeth Caldwell","1665 - 1760",95,"UK:Great Britain",12,0
"LH8V-NNV",NA,"Ann Seymour","1652 - 1693",41,"UK:Great Britain",6,3
"LHX5-X9B",NA,"Johann Daniel Runckel","1679 - 1715",36,"Germany",8,6
"LRP5-HJS",NA,"Johann Adam Wagner","1665 - 1729",64,"Germany",6,0
"LRP5-SNN",NA,"Anna Margaretha Kim","1667 - 1741",74,"Germany",6,4
"LRQH-PFV",NA,"Richard John Massey Sr.","1661 - 1740",78,"UK:Great Britain",5,7
"LV3K-VTS",NA,"Richard York II","1650 - 1695",44,"UK:Great Britain",6,2
"LX3R-GPG",NA,"Mary Lockhart","1670 - 1759",89,"USA",10,23
"LXQ2-YQN",NA,"William John Diffee","1685 - 1765",80,"USA",2,0
"LXQ2-YZV",NA,"Mary Bigelow","1695 - 1752",57,"USA",2,0
"LXQ5-F2V",NA,"Reuben Allen","1698 - 1741",43,"USA",8,0
"LZ6Z-6QL",NA,"Sarah Turner","1705 - 1778",73,"USA",9,0
"LZK7-R6Z",NA,"William Thomas Swaffer","1661 - 1720",59,"UK:Great Britain",12,7
"LZK8-W6R",NA,"John Everitt","1670 - 1729",59,"USA:New York:Long Island",5,3
"LZXR-ZPD",NA,"Johanna Katharina Thielheim","1670 - 1718",48,"Germany",7,1
"LZZW-WDR",NA,"Mary Ross","1675 - 1750",75,"USA",21,14
"M1NQ-6H6",NA,"Alexander Kirkpatrick","1662 - 1738",76,"UK:Great Britain",14,0
"MBW6-L4N",NA,"Alexander Gregg","1680 - Unknown",NA,"UK:Great Britain",1,1
"MW4Y-WNW",NA,"William Pettipoole","1690 - 1774",84,"USA",17,6
"93F2-MRS",NA,"Sarah Matthews","1673 - Unknown",NA,"USA",4,2
"9V4V-BZ2",NA,"Mary Margaret Keeble","1637 - 1678",41,"USA",8,0
"G3P4-CSP",NA,"Charles Hughes","1665 - 1711",46,"UK:Great Britain",6,6
"G6FT-3K6",NA,"Ann Kennedy","1632 - 1694",62,"UK:Great Britain",4,3
"G75H-SGB",NA,"Jeremiah Seymour","1630 - 1683",53,"UK:Great Britain",4,7
"G888-N86",NA,"Mary Barrett","1639 - 1725",86,"USA",15,7
"G95P-D76",NA,"Electa Rebecca Judson","1675 - 1747",72,NA,6,11
"GD31-9K6",NA,"Elizabeth Grace Watkins","1650 - 1737",87,"USA",8,0
"GF9V-VZN",NA,"Wiliam David Lynn","1672 - 1727",55,"Ireland",6,1
"GGFW-Q4J",NA,"Mrs Nelson Langston","1655 - Unknown",NA,"USA",1,0
"GGMY-KG4",NA,"Ralph Allen Sr","1617 - 1698",81,"UK:Great Britain",1,0
"GH1Q-2BR",NA,"Elizabeth Andra Morris","1638 - 1681",43,"UK:Great Britain",8,11
"GHK1-BWQ",NA,"Mary Baxter","Unknown - Unknown",NA,"USA",1,0
"GHK1-TNK",NA,"George Baxter","1650 - 1700",50,"USA",1,0
"GHKT-53R",NA,"Lewis Greene","1627 - 1696",69,"UK:Great Britain",1,2
"GHKT-PNG",NA,"Sarah Davis","1628 - 1665",37,"UK:Great Britain",1,0
"GKZT-B7J",NA,"Mary Jane Seymour","1622 - 1688",66,"UK:Great Britain",3,0
"GKZT-Y3V",NA,"Richard Yorke","1620 - Unknown",39,NA,3,4
"GLSN-NFG",NA,"Mary Lightfoot Tucker","1695 - 1765",70,"USA",6,1
"GNVZ-N82",NA,"Mary Lockhart","1620 - 1700",80,"UK:Great Britain",6,0
"GQMW-PWZ",NA,"Nelson Langton","1655 - Unknown",NA,"USA",1,0
"GQR6-9Z5",NA,"Cecilia Hüter","1646 - 1704",57,"Germany",9,6
"GQRD-B3J",NA,"Nikolaus Thilheim","1650 - 1695",45,NA,2,0
"GQRD-GKW",NA,"Maximilian Kihm","1637 - 1715",78,"Germany",5,0
"GQSP-FPY",NA,"Gertrud HENSEL","1649 - 1685",36,"Germany",5,0
"GSV3-LDS",NA,"Richard Caldwell","1639 - 1678",39,"UK:Great Britain",1,3
"GWNP-GJ8",NA,"Josias Swaffer","1625 - 1689",64,"UK:Great Britain",8,0
"GWSD-6JM",NA,"Rebecca Sharples","1630 - 1703",73,"UK:Great Britain",1,11
"GZ3S-N5N",NA,"Helenor Stewart","1645 - 1699",54,"UK:Great Britain",4,0
"GZ78-RN1",NA,"Thomas Kirkpatrick 1st Baronet of Closeburn","1631 - 1702",71,"UK:Great Britain",5,2
"K2J1-B84",NA,"Elisabeth","Unknown - 1712",51,"Germany",3,0
"KG96-W77",NA,"John Corperew","1620 - 1700",80,"USA",7,0
"KJ8X-NGY",NA,"Hans Peter Kalhl","1650 - 1715",65,"Germany",7,0
"KN1G-XHX",NA,"Mrs. Margaret Farre","1654 - Unknown",NA,"UK:Great Britain",2,0
"KNX6-NDF",NA,"Mary Hollister","1650 - 1713",63,"USA",9,10
"L1L5-QSH",NA,"Capt. John Welles Jr.","Unknown - 1714",NA,NA,16,6
"L1XG-D9V",NA,"John Dehaven Ross","1630 - 1724",94,"UK:Great Britain",27,5
"L26L-T6C",NA,"Eleanor Barrett","1657 - 1734",77,"UK:Great Britain",7,0
"L26L-TSJ",NA,"Phillip Perry","1661 - 1731",70,"UK:Great Britain",7,8
"L4WB-25P",NA,"Richard Farre","1644 - 1727",82,"UK:Great Britain",2,0
"L58F-8TH",NA,"Mrs John Coward","1628 - Unknown",NA,NA,1,0
"L62C-CX4",NA,"Elizabeth Cage","1657 - 1773",116,"USA",6,4
"L6QR-T3D",NA,"Elizabeth Coleman","1657 - 1722",65,"USA",7,7
"L6YN-FNW",NA,"John Vardry","1645 - 1721",76,"UK:Great Britain",6,3
"L7DH-GL2",NA,"Elizabeth Stevenson","1638 - 1689",51,NA,4,2
"LB68-H9X",NA,"Anna Maria Catherina Brück","1650 - 1710",60,"Germany",4,0
"LC2W-BQ8",NA,"Henrich Ludwig Vogelgesang","1644 - 1704",60,"Germany",9,4
"LCRS-Q5T",NA,"Samuel Jackson","1681 - 1720",39,NA,4,0
"LD1B-6X8",NA,"John Echols, Jr.","1650 - 1712",62,NA,10,0
"LD98-Z79",NA,"Rachel Rowlett","1653 - 1715",62,"USA",16,0
"LH2K-CD5",NA,"Thomas Melton Jr.","1640 - 1737",97,"USA",10,6
"LHPM-DPT",NA,"Alice Braithwait","1623 - 1666",42,"UK:Great Britain",8,14
