"fid","QID","name","lifespan","age_at_death","birth_country","children","siblings"
"KLWS-WF4",NA,"Joseph Child","1696 - 1765",69,"USA",12,10
"KPDR-TZ3",NA,"Sarah Guild","1702 - Unknown",NA,"USA",8,8
"L134-LK5",NA,"Hope Lathrop","1671 - 1736",65,"USA",14,14
"L2W3-WQJ",NA,"Elizabeth Lothrop","1677 - 1763",85,"USA",14,8
"L41Y-NZW",NA,"Ann Lester","1670 - 1754",84,"USA",11,6
"L5YG-XYT",NA,"Matturin Allard","1682 - 1774",92,"USA",5,0
"L7N5-C9Z",NA,"Anna Margaretha Lossen","1687 - 1722",35,"Germany",9,8
"L7NT-VP4",NA,"Bethiah Cutter","1686 - 1735",48,"USA",10,7
"L8SK-J7R",NA,"Experience Childe","1669 - 1759",90,"USA",10,7
"LB79-2BV",NA,"Benoni Clark","1693 - 1769",76,"USA",13,6
"LB88-PJ4",NA,"Andreas Rudolph Schumacher","1693 - 1767",74,"France",11,6
"LC66-SRY",NA,"Ensign Timothy Baldwin","1689 - 1750",61,"USA",6,5
"LC8T-966",NA,"Hannah Root","1699 - 1748",49,"USA",13,0
"LCDQ-TXD",NA,"Sarah Hitchcock","1678 - 1734",55,"USA",8,11
"LCVV-VJB",NA,"Abigail Bridges","1697 - 1788",90,"USA",12,8
"LCZ3-41V",NA,"Abigail Learned","1684 - 1765",81,"USA",8,10
"LCZS-VPZ",NA,"Deacon Samuel Wheelock","1664 - 1740",76,"USA",11,6
"LDBG-3QK",NA,"Abigail Richardson","1683 - 1720",36,"USA",9,13
"LH3P-61W",NA,"Samuel Russell","1671 - 1724",52,"USA",11,3
"LHFR-W3F",NA,"Elisabeth Eames","1685 - 1727",42,"USA",10,6
"LHGS-1KZ",NA,"Anna Barbara Stober","1711 - 1773",62,"Germany",11,7
"LHSQ-5YH",NA,"Lydia Rice","1668 - 1756",87,"USA",11,9
"LHZN-5LF",NA,"Benjamin Flagg","1662 - 1741",78,"USA",10,11
"LHZZ-Y1F",NA,"Hannah Wadhams","1680 - 1731",50,"USA",11,8
"LK3T-39D",NA,"Maria Appolonia Bayer","1712 - 1762",50,"Germany",8,21
"LK3T-SH8",NA,"Johann Nicholas Becker Sr","1701 - 1762",61,"Germany",15,12
"LK53-1BF",NA,"Johann Ludwig Rauenzahner","1711 - 1778",67,"Germany",10,5
"LK5Q-MXT",NA,"Elizabeth Barbara Long","1715 - 1800",84,"Germany",10,4
"LLCC-G2V",NA,"Samuel Ely Jr.","1668 - 1732",64,"USA",9,16
"LLCP-ZWB",NA,"Thomas Way","1665 - 1726",61,"USA",11,9
"LR1M-6CR",NA,"Josiah Perry Sr","1684 - 1767",82,"USA",12,7
"LT3J-JQ7",NA,"Nicolas Marchal","1691 - 1763",72,"France",4,2
"LT3J-N9K",NA,"Maria Palmontier","Unknown - Unknown",NA,"France",3,0
"LTTF-QR5",NA,"Caleb Drury Sr","1688 - 1723",35,"USA",10,8
"LTZ3-X5Z",NA,"Hannah Root","1662 - 1739",77,"USA",9,6
"LV5Z-YQZ",NA,"David Tryon","1672 - Unknown",58,"USA",11,7
"LVGM-FHR",NA,"John Hutchinson","1658 - 1719",61,"USA",9,8
"LZ2S-DJL",NA,"John Gleason","1682 - 1740",58,"USA",8,6
"LZ4F-G53",NA,"Hans Valentin Kieffer","1691 - 1764",73,"Germany",15,7
"LZ66-K4N",NA,"Martha Bliss","1674 - 1702",28,"USA",3,11
"LZ8M-XGY",NA,"William Hurlbut","1689 - 1760",70,"USA",6,1
"LZBL-49J",NA,"Elizabeth Cloninger","1695 - 1752",57,"France",11,0
"LZDB-H9Y",NA,"Phillippus Charles Karl ""Phillip"" Maurer or Mason","1710 - 1791",81,"Germany",8,0
"LZPX-VW5",NA,"John Lewis","1666 - 1738",72,"USA",7,6
"LZVW-576",NA,"Timothy Washburn","1694 - 1741",47,"USA",8,15
"LZVZ-SXC",NA,"Sarah Coolidge","1678 - 1723",45,"USA",9,12
"M15R-GKM",NA,"James Merrick","1670 - 1765",95,"USA",8,7
"M4P8-FPF",NA,"Anna Margretha Sands","Unknown - 1755",57,NA,2,1
"M95G-5ZY",NA,"Andrew James Cunningham","1660 - 1726",66,"USA",6,5
"MC3Z-1ZY",NA,"Jedediah Carpenter","1696 - 1731",35,"USA",11,10
"MDS6-T4R",NA,"Nathan Fiske","1672 - 1741",69,"USA",9,8
"MH47-CZR",NA,"Michael Franks Sr","1725 - 1792",67,"Germany",3,0
"WB7C-DK6",NA,"Elizabeth Nichols","1668 - Unknown",58,"USA",6,7
"29M1-YXQ",NA,"Sarah Farrar","1648 - 1712",64,"USA",9,0
"2JYT-CQF",NA,"Hannah Haynes","1637 - 1691",54,"USA",7,3
"2MJ4-ZXD",NA,"Grace Bett","1634 - 1705",71,"USA",9,0
