"fid","QID","name","lifespan","article","age_at_death","birth_country","children","siblings"
"KCZ5-DBZ",NA,"Littleberry ""L.B."" Bray","1826 - 1883",NA,56,"USA",12,8
"9V3Z-S38",NA,"Jarett Bray","1788 - 1850",NA,72,"USA",9,0
"GMR3-Z31",NA,"Rebecca Lawson Or Lausen","1802 - 1860",NA,59,"USA",9,0
